记录时间：2015-11-29 23:11:55,182 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[679449]下载文件完成
记录时间：2015-11-29 23:12:26,240 线程ID:[12] 日志级别：ERROR 出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：解析文件失败:列“eNB接收干扰功率大于-105采样”不属于表 汇总。
-----------程序开始运行-----------记录时间：2015-11-29 23:14:24,942 线程ID:[9] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：开始解析...
记录时间：2015-11-29 23:14:25,002 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始连接
记录时间：2015-11-29 23:14:26,012 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]连接成功
记录时间：2015-11-29 23:14:26,214 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 23:14:26,622 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
记录时间：2015-11-29 23:14:26,634 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[195458]下载文件完成
记录时间：2015-11-29 23:14:26,836 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 23:14:27,239 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
记录时间：2015-11-29 23:14:27,252 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[679449]下载文件完成
记录时间：2015-11-29 23:14:57,762 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P01_参考信号接收功率.csv】成功
记录时间：2015-11-29 23:14:57,768 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P02_参考信号接收质量.csv】成功
记录时间：2015-11-29 23:14:57,776 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P03_时间提前量.csv】成功
记录时间：2015-11-29 23:14:57,788 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P04_UE发射功率余量.csv】成功
记录时间：2015-11-29 23:14:57,797 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P05_ENB接收干扰功率.csv】成功
记录时间：2015-11-29 23:14:57,807 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P06_ENB天线到达角.csv】成功
记录时间：2015-11-29 23:14:57,820 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P07_上行丢包率.csv】成功
记录时间：2015-11-29 23:14:57,834 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P08_下行丢包率.csv】成功
记录时间：2015-11-29 23:14:57,846 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P09_上行信噪比.csv】成功
记录时间：2015-11-29 23:14:57,858 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\广东省_LTE-P13_eNB收发时间差.csv】成功
记录时间：2015-11-29 23:14:57,869 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129231457\汇总.csv】成功
记录时间：2015-11-29 23:14:57,881 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件成功
-----------程序开始运行-----------记录时间：2015-11-29 23:18:04,925 线程ID:[9] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：开始解析...
